GAME_ID,GAME_DATE,HOME_TEAM_ID,HOME_WIN,HOME_ROLL_10_PTS,HOME_ROLL_10_FG_PCT,HOME_ROLL_10_FG3_PCT,HOME_ROLL_10_FT_PCT,HOME_ROLL_10_REB,HOME_ROLL_10_AST,HOME_ROLL_10_TOV,HOME_ROLL_10_STL,HOME_ROLL_10_BLK,HOME_ROLL_10_PLUS_MINUS,HOME_ROLL_10_WL_NUM,HOME_WIN_STREAK,HOME_REST_DAYS,AWAY_TEAM_ID,AWAY_ROLL_10_PTS,AWAY_ROLL_10_FG_PCT,AWAY_ROLL_10_FG3_PCT,AWAY_ROLL_10_FT_PCT,AWAY_ROLL_10_REB,AWAY_ROLL_10_AST,AWAY_ROLL_10_TOV,AWAY_ROLL_10_STL,AWAY_ROLL_10_BLK,AWAY_ROLL_10_PLUS_MINUS,AWAY_ROLL_10_WL_NUM,AWAY_WIN_STREAK,AWAY_REST_DAYS,DIFF_ROLL_10_PTS,DIFF_ROLL_10_FG_PCT,DIFF_ROLL_10_FG3_PCT,DIFF_ROLL_10_FT_PCT,DIFF_ROLL_10_REB,DIFF_ROLL_10_AST,DIFF_ROLL_10_TOV,DIFF_ROLL_10_STL,DIFF_ROLL_10_BLK,DIFF_ROLL_10_PLUS_MINUS,DIFF_ROLL_10_WL_NUM,DIFF_WIN_STREAK,DIFF_REST_DAYS,H2H_HOME_WINRATE
0022400691,2025-02-01,1610612760,1,120.4,0.4827,0.37170000000000003,0.8495000000000001,43.3,25.5,11.7,9.6,4.3,12.6,0.7,1,3.0,1610612758,118.8,0.4774,0.354,0.8199,46.8,29.7,11.1,6.7,4.3,1.0,0.6,1,3.0,1.6000000000000085,0.005300000000000027,0.01770000000000005,0.02960000000000018,-3.5,-4.199999999999999,0.5999999999999996,2.8999999999999995,0.0,11.6,0.09999999999999998,0,0.0,0.625
0022400692,2025-02-01,1610612752,0,121.0,0.4901,0.3719,0.8201,43.5,28.5,11.1,9.3,3.3,7.6,0.7,5,3.0,1610612747,111.9,0.5,0.347,0.8089000000000001,42.1,27.1,12.7,7.4,5.0,5.5,0.7,1,2.0,9.099999999999994,-0.00990000000000002,0.024900000000000033,0.011199999999999988,1.3999999999999986,1.3999999999999986,-1.5999999999999996,1.9000000000000004,-1.7000000000000002,2.0999999999999996,0.0,4,1.0,0.0
0022400689,2025-02-01,1610612745,0,117.3,0.4728,0.40199999999999997,0.7414,45.2,24.5,14.5,10.6,4.4,3.8,0.7,1,2.0,1610612751,98.8,0.41200000000000003,0.3053,0.7548,43.6,23.6,13.7,7.8,4.4,-9.9,0.2,1,3.0,18.5,0.060799999999999965,0.09669999999999995,-0.013400000000000079,1.6000000000000014,0.8999999999999986,0.8000000000000007,2.8,0.0,13.7,0.49999999999999994,0,-1.0,0.75
0022400693,2025-02-01,1610612759,0,117.3,0.4729,0.38079999999999997,0.7638,44.8,29.3,13.2,8.2,7.7,-5.3,0.3,1,1.0,1610612748,110.6,0.46670000000000006,0.3768,0.8686999999999999,44.3,27.8,13.1,6.0,3.8,-4.1,0.4,1,3.0,6.700000000000003,0.006199999999999928,0.003999999999999948,-0.10489999999999988,0.5,1.5,0.09999999999999964,2.1999999999999993,3.9000000000000004,-1.2000000000000002,-0.10000000000000003,0,-2.0,0.4
0022400695,2025-02-02,1610612765,1,112.9,0.4652,0.3551,0.8113999999999999,46.0,23.7,14.0,8.0,5.0,-0.6,0.5,1,2.0,1610612741,109.8,0.446,0.34249999999999997,0.8413999999999999,48.7,27.7,14.3,7.0,5.3,-5.7,0.3,1,2.0,3.1000000000000085,0.019199999999999995,0.012600000000000056,-0.030000000000000027,-2.700000000000003,-4.0,-0.3000000000000007,1.0,-0.2999999999999998,5.1000000000000005,0.2,0,0.0,0.4444444444444444
0022400699,2025-02-02,1610612749,0,120.8,0.5067999999999999,0.38639999999999997,0.7359,45.8,27.3,11.3,5.1,5.1,3.7,0.6,2,2.0,1610612763,124.4,0.5005,0.3856,0.7926,42.9,27.2,13.9,9.4,4.8,5.5,0.8,1,3.0,-3.6000000000000085,0.006299999999999972,0.0007999999999999674,-0.05669999999999997,2.8999999999999986,0.10000000000000142,-2.5999999999999996,-4.300000000000001,0.2999999999999998,-1.7999999999999998,-0.20000000000000007,1,-1.0,0.6
0022400696,2025-02-02,1610612739,1,122.4,0.484,0.3568,0.8013999999999999,46.6,28.5,11.7,7.4,3.7,7.6,0.6,3,3.0,1610612742,113.7,0.4795,0.3536,0.7647,44.7,25.4,14.8,7.5,6.5,-2.1,0.4,1,2.0,8.700000000000003,0.004500000000000004,0.0031999999999999806,0.036699999999999844,1.8999999999999986,3.1000000000000014,-3.1000000000000014,-0.09999999999999964,-2.8,9.7,0.19999999999999996,2,1.0,0.4
0022400697,2025-02-02,1610612761,1,111.3,0.4803,0.3693,0.7182000000000001,45.4,30.2,13.4,7.9,5.1,4.8,0.7,1,2.0,1610612746,115.8,0.5025000000000001,0.35839999999999994,0.8484,46.0,24.6,14.2,9.3,4.6,13.0,0.7,2,2.0,-4.5,-0.022200000000000053,0.010900000000000076,-0.13019999999999998,-0.6000000000000014,5.599999999999998,-0.7999999999999989,-1.4000000000000004,0.5,-8.2,0.0,-1,0.0,0.6
0022400698,2025-02-02,1610612755,0,115.1,0.47939999999999994,0.3801,0.7984,35.3,25.6,11.4,9.0,3.0,-4.5,0.4,1,2.0,1610612738,114.5,0.4566,0.3802,0.7815000000000001,43.5,27.0,10.8,7.8,5.5,7.0,0.6,2,2.0,0.5999999999999943,0.02279999999999993,-9.999999999998899e-05,0.016899999999999915,-8.200000000000003,-1.3999999999999986,0.5999999999999996,1.2000000000000002,-2.5,-11.5,-0.19999999999999996,-1,0.0,0.5
0022400709,2025-02-03,1610612757,1,110.3,0.4647,0.3496,0.7744,44.0,23.2,13.6,7.7,5.8,4.7,0.7,3,2.0,1610612756,115.3,0.491,0.382,0.7875,42.9,27.4,14.0,7.1,4.1,1.4,0.6,1,2.0,-5.0,-0.02629999999999999,-0.032399999999999984,-0.0131,1.1000000000000014,-4.199999999999999,-0.40000000000000036,0.6000000000000005,1.7000000000000002,3.3000000000000003,0.09999999999999998,2,0.0,0.8
0022400702,2025-02-03,1610612752,1,122.1,0.4979,0.39469999999999994,0.7938,43.6,30.0,11.5,9.3,3.3,8.5,0.7,1,2.0,1610612745,115.1,0.4622,0.3812,0.7371,45.6,23.5,13.3,9.9,4.2,2.4,0.6,2,2.0,7.0,0.03570000000000001,0.013499999999999956,0.05669999999999997,-2.0,6.5,-1.8000000000000007,-0.5999999999999996,-0.9000000000000004,6.1,0.09999999999999998,-1,0.0,0.8
0022400706,2025-02-03,1610612743,1,121.1,0.5314,0.37489999999999996,0.8290000000000001,44.4,30.7,14.3,7.1,5.2,1.6,0.6,2,2.0,1610612740,119.0,0.4643,0.36510000000000004,0.7701,44.2,26.1,11.8,9.4,5.9,-3.1,0.4,5,3.0,2.0999999999999943,0.06709999999999999,0.00979999999999992,0.05890000000000006,0.19999999999999574,4.599999999999998,2.5,-2.3000000000000007,-0.7000000000000002,4.7,0.19999999999999996,-3,-1.0,0.6666666666666666
0022400703,2025-02-03,1610612763,1,124.9,0.5046999999999999,0.38249999999999995,0.7773,44.4,28.4,13.7,9.0,5.0,6.6,0.8,2,1.0,1610612759,116.6,0.46840000000000004,0.3815,0.7768999999999999,44.7,28.9,12.5,8.2,6.8,-5.1,0.3,1,2.0,8.300000000000011,0.03629999999999989,0.0009999999999999454,0.00040000000000006697,-0.30000000000000426,-0.5,1.1999999999999993,0.8000000000000007,-1.7999999999999998,11.7,0.5,1,-1.0,0.3
0022400705,2025-02-03,1610612760,1,122.2,0.4821,0.36110000000000003,0.8294,45.7,27.2,11.3,9.2,4.0,13.5,0.7,1,2.0,1610612749,122.1,0.5095,0.40140000000000003,0.735,45.5,28.3,11.2,5.2,5.3,5.8,0.6,3,1.0,0.10000000000000853,-0.02739999999999998,-0.0403,0.09440000000000004,0.20000000000000284,-1.1000000000000014,0.10000000000000142,3.999999999999999,-1.2999999999999998,7.7,0.09999999999999998,-2,1.0,0.75
0022400708,2025-02-03,1610612744,1,111.5,0.4342,0.37510000000000004,0.7548999999999999,45.6,28.4,12.3,7.6,4.4,-3.2,0.5,1,3.0,1610612753,99.2,0.40679999999999994,0.2699,0.7224999999999999,40.4,21.2,12.6,8.9,4.8,-14.3,0.2,3,2.0,12.299999999999997,0.027400000000000035,0.10520000000000007,0.032399999999999984,5.200000000000003,7.199999999999999,-0.29999999999999893,-1.3000000000000007,-0.39999999999999947,11.100000000000001,0.3,-2,1.0,0.5
0022400704,2025-02-03,1610612750,0,116.4,0.4816000000000001,0.41770000000000007,0.8009000000000001,43.6,27.1,13.0,7.8,5.3,7.6,0.6,1,2.0,1610612758,118.4,0.47429999999999994,0.3407,0.8041,44.9,29.6,10.9,6.4,4.0,-4.1,0.5,2,2.0,-2.0,0.00730000000000014,0.07700000000000007,-0.0031999999999999806,-1.2999999999999972,-2.5,2.0999999999999996,1.3999999999999995,1.2999999999999998,11.7,0.09999999999999998,-1,0.0,0.1
0022400701,2025-02-03,1610612765,0,113.3,0.4673,0.3308,0.8044,45.6,24.0,13.6,8.6,5.0,-0.7,0.5,2,1.0,1610612737,108.6,0.4364,0.3008,0.7363,44.4,26.3,15.8,10.6,4.4,-6.4,0.2,8,2.0,4.700000000000003,0.030899999999999983,0.02999999999999997,0.06810000000000005,1.2000000000000028,-2.3000000000000007,-2.200000000000001,-2.0,0.5999999999999996,5.7,0.3,-6,-1.0,0.5555555555555556
